IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-26 12:00:00, TS, 18.00, 162.60,  0.0, 1008.0,tokyo,-100.000,   1.518,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-26 18:00:00, TS, 19.00, 162.40,  0.0, 1008.0,tokyo,-100.000,   1.518,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-27 00:00:00, TS, 20.20, 161.40,  0.0, 1008.0,tokyo,-100.000,   1.518,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-27 06:00:00, TS, 20.60, 160.70,  0.0, 1008.0,tokyo,-100.000,   1.518,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-27 12:00:00, TS, 21.80, 159.90,  0.0, 1006.0,tokyo,-100.000,   4.427,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-27 18:00:00, TS, 23.40, 159.70, 35.0, 1002.0,tokyo,   0.000,  15.708,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-28 00:00:00, TS, 24.30, 158.50, 40.0,  998.0,tokyo,  10.835,  27.887,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-28 06:00:00, TS, 25.00, 158.80, 45.0,  996.0,tokyo,  22.006,  33.063,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-28 12:00:00, TS, 26.30, 160.30, 45.0,  992.0,tokyo,  22.006,  43.605,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-28 18:00:00, TS, 28.00, 161.40, 50.0,  985.0,tokyo,  33.382,  55.642,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-29 00:00:00, TS, 29.20, 163.20, 55.0,  985.0,tokyo,  43.383,  55.642,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-29 06:00:00, TS, 30.30, 166.10, 55.0,  980.0,tokyo,  43.383,  63.026,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-29 12:00:00, TS, 31.50, 169.80, 55.0,  985.0,tokyo,  43.383,  55.642,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-29 18:00:00, TS, 31.60, 173.30, 50.0,  990.0,tokyo,  33.382,  48.137,main
2002298N17169,2002,29, WP, MM,MAYSAK,2002-10-30 00:00:00, TS, 33.40, 177.90, 40.0,  994.0,tokyo,  10.835,  39.233,main
