IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2001028S15128,2001,06, SI, WA,TERRI,2001-01-28 04:00:00, NR,-14.20, 124.80, 23.0, 1002.0,bom,   9.214,  10.564,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-28 10:00:00, NR,-14.60, 124.20, 25.0, 1001.0,bom,  10.794,  14.294,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-28 16:00:00, NR,-15.10, 123.50, 27.0, 1000.0,bom,  18.676,  16.735,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-28 22:00:00, NR,-15.50, 122.80, 29.0,  998.0,bom,  22.353,  25.747,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-29 04:00:00, NR,-15.70, 122.10, 33.0,  996.0,bom,  32.362,  33.509,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-29 10:00:00, NR,-15.90, 121.60, 35.0,  994.0,bom,  33.664,  42.360,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-29 16:00:00, NR,-16.00, 121.20, 39.0,  992.0,bom,  43.622,  46.992,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-29 22:00:00, NR,-16.30, 120.80, 45.0,  988.0,bom,  53.786,  57.955,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 01:00:00, NR,-16.60, 120.40, 49.0,  985.0,bom,  59.498,  62.645,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 04:00:00, NR,-17.00, 120.00, 54.0,  980.0,bom,  66.553,  70.188,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 07:00:00, NR,-17.40, 119.60, 60.0,  975.0,bom,  72.183,  76.514,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 10:00:00, NR,-17.90, 119.30, 60.0,  975.0,bom,  72.183,  76.514,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 13:00:00, NR,-18.30, 119.20, 60.0,  975.0,bom,  72.183,  76.514,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 16:00:00, NR,-18.70, 119.10, 60.0,  975.0,bom,  72.183,  76.514,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 19:00:00, NR,-19.00, 119.10, 60.0,  975.0,bom,  72.183,  76.514,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-30 22:00:00, NR,-19.30, 119.30, 54.0,  980.0,bom,  66.553,  70.188,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 01:00:00, NR,-19.90, 119.60, 54.0,  980.0,bom,  66.553,  70.188,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 04:00:00, NR,-20.50, 119.90, 54.0,  980.0,bom,  66.553,  70.188,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 07:00:00, NR,-21.40, 120.20, 49.0,  985.0,bom,  59.498,  62.645,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 10:00:00, NR,-22.30, 120.50, 49.0,  985.0,bom,  59.498,  62.645,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 13:00:00, NR,-23.10, 120.80, 41.0,  990.0,bom,  47.815,  51.037,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 16:00:00, NR,-23.90, 121.10, 41.0,  990.0,bom,  47.815,  51.037,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 19:00:00, NR,-24.80, 121.40, 41.0,  990.0,bom,  47.815,  51.037,main
2001028S15128,2001,06, SI, WA,TERRI,2001-01-31 22:00:00, NR,-25.80, 122.00, 41.0,  990.0,bom,  47.815,  51.037,main
