IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-03 18:00:00, TS, 11.00,-121.10, 25.0, 1007.0,atcf,   4.993,  21.488,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-04 00:00:00, TS, 11.50,-122.40, 35.0, 1004.0,atcf,  32.605,  38.086,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-04 06:00:00, TS, 11.80,-123.70, 45.0, 1000.0,atcf,  50.354,  51.073,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-04 12:00:00, TS, 12.00,-124.90, 55.0,  994.0,atcf,  64.336,  65.329,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-04 18:00:00, TS, 12.20,-126.10, 65.0,  987.0,atcf,  73.828,  74.957,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-05 00:00:00, TS, 12.60,-126.90, 75.0,  980.0,atcf,  81.904,  81.937,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-05 06:00:00, TS, 13.20,-127.60, 85.0,  972.0,atcf,  87.293,  87.630,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-05 12:00:00, TS, 13.70,-128.50,100.0,  960.0,atcf,  92.893,  92.877,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-05 18:00:00, TS, 14.20,-129.30,115.0,  948.0,atcf,  96.539,  96.362,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-06 00:00:00, TS, 14.70,-130.10,125.0,  935.0,atcf,  98.468,  98.608,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-06 06:00:00, TS, 15.10,-130.80,125.0,  935.0,atcf,  98.468,  98.608,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-06 12:00:00, TS, 15.70,-131.50,120.0,  940.0,atcf,  97.800,  98.054,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-06 18:00:00, TS, 16.20,-132.30,115.0,  944.0,atcf,  96.539,  97.464,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-07 00:00:00, TS, 16.70,-133.20,115.0,  948.0,atcf,  96.539,  96.362,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-07 06:00:00, TS, 17.30,-134.00,105.0,  955.0,atcf,  94.631,  94.611,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-07 12:00:00, TS, 17.70,-135.20,100.0,  960.0,atcf,  92.893,  92.877,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-07 18:00:00, TS, 18.10,-136.30, 95.0,  965.0,atcf,  91.630,  91.119,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-08 00:00:00, TS, 18.60,-137.40, 90.0,  970.0,atcf,  89.033,  88.471,main
2009215N10242,2009,07, EP, MM,FELICIA,2009-08-08 06:00:00, TS, 18.90,-138.70, 85.0,  973.0,atcf,  87.293,  87.048,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-08 12:00:00, TS, 19.20,-140.10, 80.0,  976.0,atcf,  85.026,  85.276,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-08 18:00:00, TS, 19.60,-141.40, 75.0,  981.0,atcf,  81.904,  81.296,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-09 00:00:00, TS, 19.90,-142.70, 75.0,  982.0,atcf,  81.904,  80.573,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-09 06:00:00, TS, 20.20,-144.00, 70.0,  984.0,atcf,  78.778,  78.829,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-09 12:00:00, TS, 20.50,-145.30, 60.0,  994.0,atcf,  69.665,  65.329,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-09 18:00:00, TS, 20.90,-146.50, 50.0, 1001.0,atcf,  58.600,  48.924,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-10 00:00:00, TS, 21.00,-147.70, 45.0, 1002.0,atcf,  50.354,  45.373,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-10 06:00:00, TS, 21.00,-148.70, 45.0, 1003.0,atcf,  50.354,  41.881,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-10 12:00:00, TS, 20.90,-149.60, 40.0, 1005.0,atcf,  42.692,  32.141,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-10 18:00:00, TS, 20.90,-150.60, 40.0, 1007.0,atcf,  42.692,  21.488,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-11 00:00:00, TS, 20.90,-151.60, 35.0, 1008.0,atcf,  32.605,  15.847,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-11 06:00:00, TS, 20.90,-152.50, 35.0, 1009.0,atcf,  32.605,   9.827,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-11 12:00:00, TS, 20.80,-153.30, 30.0, 1010.0,atcf,  17.564,   5.543,main
2009215N10242,2009,07, EP, CP,FELICIA,2009-08-11 18:00:00, DS, 20.70,-154.20, 30.0, 1010.0,atcf,  17.564,   5.543,main
