IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2013271N21310,2013,11, NA, NA,JERRY,2013-09-28 00:00:00, DS, 21.10, -50.00, 30.0, 1012.0,atcf,  17.564,   2.065,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-28 06:00:00, DS, 22.20, -50.30, 30.0, 1012.0,atcf,  17.564,   2.065,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-28 12:00:00, DS, 23.30, -50.60, 30.0, 1011.0,atcf,  17.564,   3.715,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-28 18:00:00, DS, 24.20, -50.60, 30.0, 1011.0,atcf,  17.564,   3.715,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-29 00:00:00, TS, 24.90, -50.40, 30.0, 1010.0,atcf,  17.564,   5.543,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-29 06:00:00, TS, 25.60, -49.70, 30.0, 1010.0,atcf,  17.564,   5.543,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-29 12:00:00, TS, 26.20, -49.00, 30.0, 1010.0,atcf,  17.564,   5.543,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-29 18:00:00, TS, 26.70, -48.20, 30.0, 1010.0,atcf,  17.564,   5.543,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-30 00:00:00, TS, 27.10, -47.50, 30.0, 1009.0,atcf,  17.564,   9.827,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-30 06:00:00, TS, 27.20, -46.80, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-30 12:00:00, TS, 27.30, -46.00, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-09-30 18:00:00, TS, 27.30, -45.00, 40.0, 1006.0,atcf,  42.692,  26.787,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-01 00:00:00, TS, 27.50, -43.90, 45.0, 1005.0,atcf,  50.354,  32.141,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-01 06:00:00, TS, 27.70, -43.60, 40.0, 1006.0,atcf,  42.692,  26.787,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-01 12:00:00, TS, 28.10, -43.50, 40.0, 1007.0,atcf,  42.692,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-01 18:00:00, TS, 28.10, -43.50, 40.0, 1007.0,atcf,  42.692,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-02 00:00:00, TS, 28.10, -43.70, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-02 06:00:00, TS, 28.10, -43.90, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-02 12:00:00, TS, 28.60, -43.40, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-02 18:00:00, TS, 29.00, -42.90, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-03 00:00:00, TS, 29.40, -42.40, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-03 06:00:00, TS, 30.10, -41.70, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-03 12:00:00, TS, 30.80, -40.60, 35.0, 1007.0,atcf,  32.605,  21.488,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-03 18:00:00, DS, 31.50, -39.30, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-04 00:00:00, DS, 32.50, -38.00, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-04 06:00:00, DS, 33.10, -36.60, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-04 12:00:00, DS, 33.70, -35.00, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-04 18:00:00, DS, 34.20, -33.70, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-05 00:00:00, DS, 34.50, -32.70, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-05 06:00:00, DS, 35.00, -31.70, 35.0, 1008.0,atcf,  32.605,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-05 12:00:00, DS, 35.90, -30.70, 40.0, 1008.0,atcf,  42.692,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-05 18:00:00, DS, 36.70, -29.80, 40.0, 1008.0,atcf,  42.692,  15.847,main
2013271N21310,2013,11, NA, NA,JERRY,2013-10-06 00:00:00, DS, 38.00, -28.90, 40.0, 1008.0,atcf,  42.692,  15.847,main
