IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-13 00:00:00, TS,  8.60, 128.00,  0.0, 1006.0,tokyo,-100.000,   4.427,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-13 06:00:00, TS,  8.80, 126.30,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-13 12:00:00, TS,  8.80, 124.70,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-13 18:00:00, TS,  8.80, 123.00,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-14 00:00:00, TS,  8.80, 121.60,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-14 06:00:00, TS,  8.90, 120.30,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-14 12:00:00, TS,  9.30, 119.20,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-14 18:00:00, TS,  9.70, 117.90,  0.0, 1002.0,tokyo,-100.000,  15.708,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-15 00:00:00, TS, 10.20, 117.00,  0.0, 1002.0,tokyo,-100.000,  15.708,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-15 06:00:00, TS, 10.80, 116.30, 35.0,  998.0,tokyo,   0.000,  27.887,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-15 12:00:00, TS, 11.90, 115.30, 40.0,  996.0,tokyo,  10.835,  33.063,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-15 18:00:00, TS, 12.60, 114.20, 45.0,  994.0,tokyo,  22.006,  39.233,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-16 00:00:00, TS, 13.10, 113.00, 50.0,  990.0,tokyo,  33.382,  48.137,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-16 06:00:00, TS, 13.30, 112.50, 60.0,  980.0,tokyo,  51.650,  63.026,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-16 12:00:00, TS, 13.80, 112.40, 65.0,  975.0,tokyo,  59.347,  69.427,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-16 18:00:00, TS, 14.60, 112.30, 70.0,  970.0,tokyo,  65.649,  74.261,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-17 00:00:00, TS, 15.20, 112.10, 75.0,  965.0,tokyo,  72.989,  78.298,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-17 06:00:00, TS, 15.90, 112.00, 80.0,  960.0,tokyo,  79.172,  81.869,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-17 12:00:00, TS, 16.50, 111.90, 80.0,  960.0,tokyo,  79.172,  81.869,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-17 18:00:00, TS, 17.10, 111.60, 80.0,  960.0,tokyo,  79.172,  81.869,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-18 00:00:00, TS, 17.80, 111.50, 80.0,  965.0,tokyo,  79.172,  78.298,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-18 06:00:00, TS, 18.50, 111.50, 75.0,  965.0,tokyo,  72.989,  78.298,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-18 12:00:00, TS, 19.10, 111.50, 70.0,  970.0,tokyo,  65.649,  74.261,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-18 18:00:00, TS, 19.80, 111.50, 65.0,  975.0,tokyo,  59.347,  69.427,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-19 00:00:00, TS, 20.70, 111.70, 55.0,  985.0,tokyo,  43.383,  55.642,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-19 06:00:00, TS, 21.60, 112.40, 45.0,  992.0,tokyo,  22.006,  43.605,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-19 12:00:00, TS, 22.90, 113.00, 35.0,  998.0,tokyo,   0.000,  27.887,main
2008104N08128,2008,02, WP, MM,NEOGURI,2008-04-19 18:00:00, TS, 24.50, 113.90,  0.0, 1004.0,tokyo,-100.000,   8.340,main
