IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2002017S07078,2002,06, SI, MM,DINA,2002-01-16 12:00:00, TS, -7.60,  79.10, 20.0, 1004.0,reunion,   1.350,  11.030,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-16 18:00:00, TS, -7.70,  77.50, 25.0, 1002.0,reunion,  16.100,  17.753,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-17 00:00:00, TS, -7.90,  76.20, 25.0, 1000.0,reunion,  16.100,  24.168,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-17 06:00:00, TS, -9.40,  75.00, 30.0,  997.0,reunion,  34.267,  39.389,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-17 12:00:00, TS,-10.80,  73.40, 37.0,  993.0,reunion,  56.142,  52.446,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-17 18:00:00, TS,-11.70,  71.70, 50.0,  985.0,reunion,  71.975,  68.018,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-18 00:00:00, TS,-12.50,  70.60, 60.0,  975.0,reunion,  81.642,  81.278,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-18 06:00:00, TS,-13.40,  69.50, 65.0,  970.0,reunion,  85.908,  84.217,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-18 12:00:00, TS,-14.70,  68.70, 70.0,  965.0,reunion,  87.725,  87.798,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-18 18:00:00, TS,-15.50,  67.80, 80.0,  955.0,reunion,  92.208,  90.492,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-19 00:00:00, TS,-16.00,  67.30, 80.0,  955.0,reunion,  92.208,  90.492,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-19 06:00:00, TS,-16.40,  66.90, 80.0,  955.0,reunion,  92.208,  90.492,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-19 12:00:00, TS,-16.90,  66.20, 80.0,  953.0,reunion,  92.208,  93.317,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-19 18:00:00, TS,-17.20,  65.70, 90.0,  940.0,reunion,  95.742,  96.060,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-20 00:00:00, TS,-17.70,  65.00,105.0,  925.0,reunion,  98.900,  98.616,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-20 06:00:00, TS,-18.10,  64.20,115.0,  910.0,reunion,  99.608,  99.699,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-20 12:00:00, TS,-18.30,  63.20,115.0,  910.0,reunion,  99.608,  99.699,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-20 18:00:00, TS,-18.50,  62.40,110.0,  915.0,reunion,  99.267,  99.422,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-21 00:00:00, TS,-18.80,  61.40,110.0,  915.0,reunion,  99.267,  99.422,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-21 06:00:00, TS,-18.90,  60.40,105.0,  925.0,reunion,  98.900,  98.616,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-21 12:00:00, TS,-19.10,  59.50,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-21 18:00:00, TS,-19.30,  58.50,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-22 00:00:00, TS,-19.40,  57.40,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-22 06:00:00, TS,-19.50,  56.60,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-22 12:00:00, TS,-20.10,  55.70,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-22 18:00:00, TS,-20.40,  54.70,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-23 00:00:00, TS,-20.80,  54.00,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-23 06:00:00, TS,-21.40,  53.50,100.0,  930.0,reunion,  98.133,  97.395,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-23 12:00:00, TS,-22.00,  53.00, 95.0,  935.0,reunion,  97.317,  96.785,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-23 18:00:00, TS,-22.90,  52.90, 90.0,  940.0,reunion,  95.742,  96.060,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-24 00:00:00, TS,-23.80,  52.50, 85.0,  950.0,reunion,  94.442,  93.553,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-24 06:00:00, TS,-25.00,  52.20, 70.0,  965.0,reunion,  87.725,  87.798,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-24 12:00:00, TS,-26.30,  52.20, 65.0,  970.0,reunion,  85.908,  84.217,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-24 18:00:00, TS,-27.20,  52.30, 60.0,  975.0,reunion,  81.642,  81.278,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-25 00:00:00, TS,-28.30,  52.50, 60.0,  975.0,reunion,  81.642,  81.278,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-25 06:00:00, ET,-29.50,  53.10, 60.0,  978.0,reunion,  81.642,  77.534,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-25 12:00:00, ET,-30.20,  54.00, 55.0,  980.0,reunion,  78.500,  75.417,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-25 18:00:00, ET,-30.90,  55.20, 50.0,  983.0,reunion,  71.975,  74.180,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-26 00:00:00, ET,-31.40,  56.70, 45.0,  985.0,reunion,  67.200,  68.018,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-26 06:00:00, ET,-32.00,  58.00, 45.0,  985.0,reunion,  67.200,  68.018,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-26 12:00:00, ET,-33.50,  59.70, 45.0,  985.0,reunion,  67.200,  68.018,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-26 18:00:00, ET,-34.60,  60.90, 40.0,  988.0,reunion,  58.208,  64.200,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-27 00:00:00, ET,-35.60,  62.10, 40.0,  988.0,reunion,  58.208,  64.200,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-27 06:00:00, ET,-36.40,  63.30, 40.0,  990.0,reunion,  58.208,  61.213,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-27 12:00:00, ET,-37.50,  64.20, 35.0,  993.0,reunion,  43.067,  52.446,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-27 18:00:00, ET,-38.40,  64.80, 35.0,  995.0,reunion,  43.067,  47.399,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-28 00:00:00, ET,-38.90,  65.20, 35.0,  995.0,reunion,  43.067,  47.399,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-28 06:00:00, ET,-39.30,  66.10, 35.0,  998.0,reunion,  43.067,  35.914,main
2002017S07078,2002,06, SI, MM,DINA,2002-01-28 12:00:00, ET,-40.40,  67.30, 30.0, 1000.0,reunion,  34.267,  24.168,main
