IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2011360N09088,2011,10, NI, BB,THANE,2011-12-25 12:00:00, NR,  8.50,  88.50, 25.0, 1000.0,newdelhi,   2.339,  25.392,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-25 18:00:00, NR,  9.00,  88.00, 25.0, 1000.0,newdelhi,   2.339,  25.392,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-26 00:00:00, NR,  9.50,  87.50, 30.0,  998.0,newdelhi,  19.532,  36.709,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-26 03:00:00, NR,  9.50,  87.50, 30.0,  998.0,newdelhi,  19.532,  36.709,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-26 06:00:00, NR, 10.00,  87.50, 30.0,  998.0,newdelhi,  19.532,  36.709,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-26 12:00:00, NR, 10.50,  87.50, 30.0,  998.0,newdelhi,  19.532,  36.709,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-26 18:00:00, NR, 11.00,  87.50, 35.0,  996.0,newdelhi,  36.613,  48.051,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-26 21:00:00, NR, 11.00,  87.50, 35.0,  996.0,newdelhi,  36.613,  48.051,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 00:00:00, NR, 11.50,  87.50, 40.0,  994.0,newdelhi,  53.880,  57.620,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 03:00:00, NR, 12.00,  87.00, 40.0,  994.0,newdelhi,  53.880,  57.620,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 06:00:00, NR, 12.00,  87.00, 40.0,  994.0,newdelhi,  53.880,  57.620,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 09:00:00, NR, 12.20,  86.70, 40.0,  992.0,newdelhi,  53.880,  65.873,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 12:00:00, NR, 12.50,  86.50, 40.0,  992.0,newdelhi,  53.880,  65.873,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 15:00:00, NR, 12.50,  86.50, 45.0,  992.0,newdelhi,  58.745,  65.873,main
2011360N09088,2011,10, NI, BB,THANE,2011-12-27 18:00:00, NR, 12.50,  86.00, 45.0,  992.0,newdelhi,  58.745,  65.873,main
