IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-06 18:00:00, TS,-12.40,  89.70, 25.0, 1000.0,reunion,  16.100,  24.168,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-07 00:00:00, TS,-12.30,  89.00, 27.0,  999.0,reunion,  27.208,  33.610,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-07 06:00:00, TS,-11.80,  88.10, 30.0,  998.0,reunion,  34.267,  35.914,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-07 12:00:00, TS,-11.80,  88.10, 30.0,  997.0,reunion,  34.267,  39.389,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-07 18:00:00, TS,-12.10,  87.90, 30.0,  997.0,reunion,  34.267,  39.389,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-08 00:00:00, TS,-12.30,  87.50, 30.0,  996.0,reunion,  34.267,  46.015,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-08 06:00:00, TS,-12.50,  87.20, 30.0,  997.0,reunion,  34.267,  39.389,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-08 12:00:00, TS,-12.70,  86.80, 30.0,  997.0,reunion,  34.267,  39.389,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-08 18:00:00, TS,-13.10,  85.70, 35.0,  995.0,reunion,  43.067,  47.399,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-09 00:00:00, TS,-13.70,  84.30, 37.0,  994.0,reunion,  56.142,  51.111,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-09 06:00:00, TS,-14.30,  83.00, 45.0,  987.0,reunion,  67.200,  66.178,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-09 12:00:00, TS,-14.70,  81.90, 52.0,  982.0,reunion,  75.233,  74.872,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-09 18:00:00, TS,-15.20,  80.80, 60.0,  975.0,reunion,  81.642,  81.278,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-10 00:00:00, TS,-15.90,  79.70, 68.0,  965.0,reunion,  87.575,  87.798,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-10 06:00:00, TS,-16.90,  79.00, 80.0,  955.0,reunion,  92.208,  90.492,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-10 12:00:00, TS,-18.20,  78.50,100.0,  930.0,reunion,  98.133,  97.395,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-10 18:00:00, TS,-19.40,  78.20,100.0,  930.0,reunion,  98.133,  97.395,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-11 00:00:00, TS,-20.70,  78.00,100.0,  930.0,reunion,  98.133,  97.395,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-11 06:00:00, TS,-22.10,  78.00, 90.0,  943.0,reunion,  95.742,  95.482,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-11 12:00:00, TS,-23.30,  78.10, 70.0,  965.0,reunion,  87.725,  87.798,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-11 18:00:00, TS,-23.80,  78.60, 50.0,  985.0,reunion,  71.975,  68.018,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-12 00:00:00, TS,-24.30,  79.30, 40.0,  992.0,reunion,  58.208,  53.407,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-12 06:00:00, TS,-24.70,  80.00, 35.0,  998.0,reunion,  43.067,  35.914,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-12 12:00:00, TS,-25.60,  80.20, 35.0, 1003.0,reunion,  43.067,  14.432,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-12 18:00:00, TS,-26.40,  79.50, 30.0, 1007.0,reunion,  34.267,   3.549,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-13 00:00:00, TS,-27.70,  78.70, 27.0, 1008.0,reunion,  27.208,   2.084,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-13 06:00:00, TS,-29.80,  78.60, 25.0, 1010.0,reunion,  16.100,   0.586,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-13 12:00:00, TS,-30.90,  78.00, 30.0, 1012.0,reunion,  34.267,   0.195,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-13 18:00:00, TS,-31.30,  77.60, 30.0, 1014.0,reunion,  34.267,   0.073,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-14 00:00:00, TS,-31.50,  77.30, 30.0, 1015.0,reunion,  34.267,   0.016,main
2008065S12096,2008,17, SI, MM,KAMBA,2008-03-14 06:00:00, TS,-31.40,  77.00, 30.0, 1016.0,reunion,  34.267,   0.008,main
