IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2000273N16277,2000,15, NA, CS,KEITH,2000-09-28 18:00:00, TS, 16.10, -82.90, 25.0, 1005.0,atcf,   4.993,  32.141,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-29 00:00:00, TS, 16.20, -83.30, 25.0, 1004.0,atcf,   4.993,  38.086,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-29 06:00:00, TS, 16.60, -83.60, 30.0, 1003.0,atcf,  17.564,  41.881,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-29 12:00:00, TS, 16.90, -84.00, 30.0, 1002.0,atcf,  17.564,  45.373,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-29 18:00:00, TS, 17.40, -84.80, 40.0, 1000.0,atcf,  42.692,  51.073,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-30 00:00:00, TS, 17.70, -85.40, 45.0,  993.0,atcf,  50.354,  67.865,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-30 06:00:00, TS, 17.90, -86.00, 55.0,  987.0,atcf,  64.336,  74.957,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-30 12:00:00, TS, 17.90, -86.40, 65.0,  982.0,atcf,  73.828,  80.573,main
2000273N16277,2000,15, NA, CS,KEITH,2000-09-30 18:00:00, TS, 17.90, -86.70, 75.0,  977.0,atcf,  81.904,  84.683,main
2000273N16277,2000,15, NA, CS,KEITH,2000-10-01 00:00:00, TS, 17.90, -86.90,100.0,  955.0,atcf,  92.893,  94.611,main
2000273N16277,2000,15, NA, CS,KEITH,2000-10-01 06:00:00, TS, 17.90, -87.20,120.0,  941.0,atcf,  97.800,  97.910,main
2000273N16277,2000,15, NA, CS,KEITH,2000-10-01 07:00:00, TS, 17.90, -87.30,120.0,  939.0,atcf,  97.800,  98.207,main
2000273N16277,2000,15, NA, CS,KEITH,2000-10-01 12:00:00, TS, 17.90, -87.40,115.0,  944.0,atcf,  96.539,  97.464,main
