IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-21 18:00:00, TS, 15.60, 124.90,  0.0, 1006.0,tokyo,-100.000,   4.427,main
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-22 00:00:00, TS, 15.60, 123.60,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-22 06:00:00, TS, 15.70, 122.50, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-22 12:00:00, TS, 15.40, 121.70,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-22 18:00:00, TS, 15.70, 121.30,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-23 00:00:00, TS, 16.00, 121.00,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2004327N16125,2004,31, WP, MM,MERBOK,2004-11-23 06:00:00, TS, 17.00, 120.00,  0.0, 1004.0,tokyo,-100.000,   8.340,main
