IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-03 00:00:00, NR,-12.00,-174.50, 15.0, 1004.0,nadi,   0.352,   2.172,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-03 06:00:00, NR,-12.10,-175.00, 15.0, 1004.0,nadi,   0.352,   2.172,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-03 12:00:00, NR,-12.30,-175.50, 15.0, 1004.0,nadi,   0.352,   2.172,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-03 18:00:00, NR,-12.50,-176.50, 20.0, 1002.0,nadi,   4.063,   5.822,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-04 00:00:00, NR,-12.50,-177.50, 25.0, 1000.0,nadi,   9.533,  10.347,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-04 06:00:00, NR,-12.20,-178.50, 25.0, 1000.0,nadi,   9.533,  10.347,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-04 12:00:00, NR,-12.00,-179.60, 25.0,  999.0,nadi,   9.533,  15.535,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-04 18:00:00, NR,-12.00, 179.50, 30.0,  997.0,nadi,  18.938,  23.077,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-05 00:00:00, NR,-12.00, 178.20, 30.0,  997.0,nadi,  18.938,  23.077,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-05 02:00:00, NR,-12.10, 177.70, 35.0,  995.0,nadi,  30.934,  31.282,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-05 06:00:00, NR,-12.30, 177.10, 40.0,  990.0,nadi,  41.555,  42.353,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-05 12:00:00, NR,-12.80, 176.40, 45.0,  987.0,nadi,  49.776,  50.679,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-05 18:00:00, NR,-13.90, 175.90, 50.0,  985.0,nadi,  56.334,  56.983,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-06 00:00:00, NR,-14.60, 175.80, 50.0,  980.0,nadi,  56.334,  64.706,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-06 06:00:00, NR,-15.20, 175.90, 60.0,  975.0,nadi,  70.409,  70.377,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-06 12:00:00, NR,-15.40, 176.20, 70.0,  965.0,nadi,  79.910,  80.241,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-06 18:00:00, NR,-15.50, 176.90, 80.0,  955.0,nadi,  85.253,  86.697,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-07 00:00:00, NR,-15.50, 177.90, 90.0,  940.0,nadi,  90.723,  92.428,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-07 06:00:00, NR,-15.50, 178.60,100.0,  925.0,nadi,  95.074,  96.410,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-07 12:00:00, NR,-15.60, 179.70, 90.0,  935.0,nadi,  90.723,  94.510,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-07 18:00:00, NR,-15.90,-179.50, 90.0,  940.0,nadi,  90.723,  92.428,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-08 00:00:00, NR,-16.30,-178.60, 80.0,  950.0,nadi,  85.253,  88.989,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-08 06:00:00, NR,-16.80,-178.00, 70.0,  965.0,nadi,  79.910,  80.241,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-08 12:00:00, NR,-17.40,-177.90, 60.0,  975.0,nadi,  70.409,  70.377,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-08 18:00:00, NR,-17.60,-177.90, 50.0,  985.0,nadi,  56.334,  56.983,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-09 00:00:00, NR,-18.10,-178.00, 40.0,  992.0,nadi,  41.555,  40.452,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-09 06:00:00, NR,-18.50,-178.10, 30.0,  997.0,nadi,  18.938,  23.077,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-09 12:00:00, NR,-18.90,-178.10, 25.0, 1000.0,nadi,   9.533,  10.347,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-09 18:00:00, NR,-19.40,-178.20, 20.0, 1002.0,nadi,   4.063,   5.822,main
2007337S12186,2008,02, SP, MM,DAMAN,2007-12-10 00:00:00, NR,-19.90,-178.50, 15.0, 1003.0,nadi,   0.352,   4.827,main
