IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2013242N15245,2013,14, EP, MM,KIKO,2013-08-29 18:00:00, DS, 15.00,-115.10, 20.0, 1008.0,atcf,   0.870,  15.847,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-30 00:00:00, DS, 15.70,-115.10, 25.0, 1008.0,atcf,   4.993,  15.847,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-30 06:00:00, DS, 16.40,-115.10, 25.0, 1008.0,atcf,   4.993,  15.847,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-30 12:00:00, TS, 17.00,-115.20, 25.0, 1007.0,atcf,   4.993,  21.488,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-30 18:00:00, TS, 17.60,-115.40, 30.0, 1007.0,atcf,  17.564,  21.488,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-31 00:00:00, TS, 18.00,-115.90, 30.0, 1005.0,atcf,  17.564,  32.141,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-31 06:00:00, TS, 18.40,-116.30, 30.0, 1005.0,atcf,  17.564,  32.141,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-31 12:00:00, TS, 18.80,-116.40, 35.0, 1003.0,atcf,  32.605,  41.881,main
2013242N15245,2013,14, EP, MM,KIKO,2013-08-31 18:00:00, TS, 19.20,-116.20, 45.0, 1001.0,atcf,  50.354,  48.924,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-01 00:00:00, TS, 19.70,-115.90, 55.0,  996.0,atcf,  64.336,  61.893,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-01 06:00:00, TS, 20.30,-115.60, 65.0,  989.0,atcf,  73.828,  72.997,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-01 12:00:00, TS, 21.00,-115.60, 65.0,  989.0,atcf,  73.828,  72.997,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-01 18:00:00, TS, 21.70,-115.70, 55.0,  995.0,atcf,  64.336,  63.202,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-02 00:00:00, TS, 22.30,-116.00, 45.0, 1000.0,atcf,  50.354,  51.073,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-02 06:00:00, TS, 22.60,-116.20, 35.0, 1003.0,atcf,  32.605,  41.881,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-02 12:00:00, DS, 22.80,-116.30, 30.0, 1005.0,atcf,  17.564,  32.141,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-02 18:00:00, DS, 22.90,-116.50, 30.0, 1005.0,atcf,  17.564,  32.141,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-03 00:00:00, DS, 22.80,-116.60, 25.0, 1006.0,atcf,   4.993,  26.787,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-03 06:00:00, DS, 22.70,-116.50, 20.0, 1008.0,atcf,   0.870,  15.847,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-03 12:00:00, DS, 22.70,-116.40, 20.0, 1008.0,atcf,   0.870,  15.847,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-03 18:00:00, DS, 22.70,-116.20, 20.0, 1008.0,atcf,   0.870,  15.847,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-04 00:00:00, DS, 22.60,-116.10, 15.0, 1009.0,atcf,   0.197,   9.827,main
2013242N15245,2013,14, EP, MM,KIKO,2013-09-04 06:00:00, DS, 22.40,-116.10, 15.0, 1010.0,atcf,   0.197,   5.543,main
